번호,카테고리,본문,링크포함,글자수,메모
19,한국사 한 입,"백제 무령왕릉이 한능검에 자주 나오는 이유:
1) 지석으로 무덤 주인 확정된 유일한 백제 왕릉
2) 중국 남조 영향
3) 송산리 고분군 안에 있음
세 가지 다 다른 문제로 출제됨. 한 번 정리해두면 3문제 잡음.",,118,
20,한국사 한 입,"통일신라 신라방·신라소·신라관·신라원 4종 헷갈리지 마.
방 = 거주지
소 = 관청
관 = 숙소
원 = 절
외운 사람 vs 안 외운 사람 갈리는 포인트.",,85,
21,한국사 한 입,"흥선대원군 통상거부 정책 10년 = 외세 차단 성공 + 근대화 지연.
척화비 전국 건립이 결정타.
""서양 오랑캐 침입에 싸우지 않으면 화친, 화친은 매국""이 비문 내용.
이거 그대로 외워.",,105,
22,한국사 한 입,"조선 후기 5군영 설치 순서.
훈련도감(1593) → 어영청·총융청(1624) → 수어청(1626) → 금위영(1682).
임진왜란 직후 → 후금 위협 → 인조반정 후 정비.
배경 같이 외워야 안 까먹음.",,114,
23,한국사 한 입,"고구려 고국천왕 = 진대법(194) 시행 왕.
봄에 빌려주고 가을에 갚게 함. 우리나라 최초 빈민구휼.
'고국천 = 진대법' 한 세트로 묶어두기.",,81,
24,한국사 한 입,"한능검 단골 함정:
'균역법 = 영조 / 신해통공 = 정조'.
둘 다 백성 부담 줄인 정책이라 진짜 헷갈림.
균역 = 군포 절감(1750), 신해통공 = 시전 특권 폐지(1791).",,101,
25,한국사 한 입,"신라 화백회의 = 만장일치제.
한 명이라도 반대하면 결정 무효.
진골 귀족 회의로 왕권을 견제했음.
'화백 = 만장일치' 키워드 묶음.",,75,
26,한국사 한 입,"조선 환국 3종 — 숙종 시기.
경신환국(1680, 서인 집권) → 기사환국(1689, 남인 집권) → 갑술환국(1694, 서인 재집권).
권력 시소. 붕당 정치 절정.",,94,
27,한국사 한 입,"동학농민운동 흐름 한 줄.
고부 봉기(1894.1) → 1차 봉기 → 황토현 승리 → 전주 화약 → 청·일군 출병 → 2차 봉기 → 우금치 패배.
6단계 외워.",,89,
28,한국사 한 입,"고려 무신정변(1170) 후 정권 교체 순서.
정중부 → 경대승 → 이의민 → 최충헌.
최씨 정권만 60년 갔음.
'정·경·이·최'.",,74,
29,한국사 한 입,"광개토대왕(391-413) vs 장수왕(413-491).
광개토 = 만주 정복.
장수 = 평양 천도(427) + 한강 유역 차지.
부자 콤보로 고구려 전성기.",,88,
30,한국사 한 입,"임진왜란 3대 대첩.
한산도 — 이순신
진주 — 김시민
행주 — 권율
세 명 + 세 곳 한 세트.",,54,
31,한국사 한 입,"조선 후기 실학 3파.
중농학파 — 이익·정약용 (토지 개혁)
중상학파 — 박지원·박제가 (상공업)
국학파 — 안정복·유득공 (우리 역사)
학파별 대표 1명씩만 챙겨도 됨.",,96,
32,한국사 한 입,"갑오개혁(1894-95) vs 을미개혁(1895).
갑오 = 김홍집 1차·2차, 신분제 폐지.
을미 = 단발령.
단발령이 의병 일으킨 도화선이었음.",,82,
33,한국사 한 입,"고려 시대 무신 vs 문신 구분.
무신정변 이전엔 문관 권력 독점, 무관 차별.
정변 = 그게 뒤집힘.
그래서 의종이 보현원에서 죽음. 한 사건이 시대를 바꾼 케이스.",,93,
34,한국사 한 입,"일제 강점기 통치방식 3단계.
무단(1910s) → 문화(1920s) → 민족말살(1930s~).
단계별 키워드: 헌병경찰 → 보통경찰 → 황국신민화.",,84,
35,한국사 한 입,"신간회(1927-31) 한 줄.
좌우합작 최대 규모 민족운동.
광주학생항일운동 때 진상조사단 파견.
1931년 해소.
'좌우합작 + 광주' 묶음.",,81,
36,수험생 공감,"한능검 시험 한 달 앞두고 가장 후회되는 거:
한 달 전부터 안 하고
한 주 전부터 함.",,49,
37,수험생 공감,"한국사 공부하면서 가장 헷갈리는 거 1위.
조선 사화·환국·예송·붕당.
넷 다 비슷한데 다 다름.
이거 한 번에 정리되는 사람 = 천재.",,76,
38,수험생 공감,"한능검 D-7.
오늘 할 거: 한 회차 풀고 오답 정리 + 시대 1개 복습.
2시간이면 충분하다고 했는데 과연.",,62,
39,수험생 공감,"한국사 공부하다가 갑자기 외규장각 도서 약탈 다큐 보고 있는 나.
시험은 모레인데.",,46,
40,수험생 공감,"한능검 1급 = 80점 이상.
80점은 50문제 중 40개 맞추기.
40개 = 5개씩 8세대 안 틀리기.
막막한가요? 우리 다 같은 처지.",,77,
41,수험생 공감,"한능검 풀면서 가장 빡치는 순간:
두 선지 사이에서 50:50.
다른 거 골라서 틀림.",,48,
42,수험생 공감,"한국사 외울 때 단계.
1) 사건 이름 외우기 (쉬움)
2) 연도 외우기 (어려움)
3) 인과관계 외우기 (지옥)
결국 다 함께 묶어야 함.",,78,
43,수험생 공감,"한능검 공부 타임라인.
시작 전: ""60일이면 충분""
D-30: ""아직 시간 있음""
D-7: ""아 망했다""
D-1: ""잠이라도 자자""",,74,
44,수험생 공감,"한국사 시험 끝나고 가장 무서운 건 점수가 아니라
'내가 모르는 게 이렇게 많았구나'
를 알게 되는 순간.",,59,
45,수험생 공감,"한능검 보는 이유는 다 다름.
스펙용, 자기만족, 부모님 권유, 그냥.
근데 일단 시작했으면 합격해야 본전.
다들 화이팅.",,68,
46,데이터·발견,"한능검 사이트 데이터로 알아낸 것 1.
'조선 후기'가 가장 많이 검색되는 시대.
17~19세기 = 양적·질적 변화 폭발.
시험에서도 단연 출제 1위.

→ gcnote.co.kr",Y,100,
47,데이터·발견,"한능검 38회분 1,900문제 분석.
가장 자주 나온 시대 TOP 3:
1. 조선 후기 (18%)
2. 일제 강점기 (15%)
3. 고려 (12%)
비중 큰 시대 먼저 잡아야 효율 나옴.",,104,
48,데이터·발견,"사이트 데이터로 알아낸 것 2.
사용자가 가장 오래 머무는 페이지 = 오답노트.
정답 다시 보는 게 아니라 틀린 거 곱씹는 데서 학습 일어남.
이건 데이터 안 보면 모르는 거였음.",,100,
49,데이터·발견,"한능검 정답률 데이터:
1번 문제(선사) 평균 85%
50번 문제(현대) 평균 70%
뒤로 갈수록 어려워지는 게 아니라
근현대일수록 헷갈리는 인물·사건이 많아서.",,90,
50,데이터·발견,"한능검 회차별 평균 1급 합격률: 30~40%.
즉 70%는 떨어지거나 2~3급.
""1급은 흔한 자격증"" 같지만 실제론 2/3가 못 받음.
무서운 통계.

→ gcnote.co.kr",Y,101,
51,공무원 확장,"처음엔 한능검만 만들었는데, 데이터 보니까 9급·7급 공무원, 경찰·소방까지 한국사 출제 풀이가 80% 같았어요.
그래서 다음 단계: 한능검 사이트를 **공무원 시험 통합 학습 플랫폼**으로 확장합니다.
한 사이트에서 한능검 → 9급 → 7급까지 다 풀 수 있게.",,147,
52,공무원 확장,"공무원 준비하시는 분들도 지금 사이트에서 한국사 풀어볼 수 있어요.
회차는 한능검이지만 출제 풀이가 사실상 동일.
9급 한국사 기출은 이번 분기 업데이트에서 추가 예정.

→ gcnote.co.kr",Y,110,
53,공무원 확장,"한 사이트, 모든 시험.
한능검부터 시작했지만 목표는 더 큽니다.
9급 공무원 → 7급 → 경찰·소방 → 자격증 전체.
코드는 통일이라 콘텐츠만 부으면 되는 구조로 만들어둠. 데이터 거의 다 모았음.",,111,
54,공무원 확장,"오늘 데이터 작업: 9급 국가직 24직렬 + 지방직 21직렬 분류 정리.
사이트엔 아직 안 올렸지만 백엔드는 준비됨.
직렬마다 과목이 달라서 라우팅 새로 짜는 중.
한능검 끝나고 바로 시작합니다.",,109,
55,공무원 확장,"한능검 공부하면서 공무원도 같이 노리시는 분이라면 이 사이트 살아남길 응원해주세요.
한능검 다음 → 9급 한국사·국어·영어 추가 예정.
같은 학습 경험으로 한 곳에서 풀이 + 약점 분석 + 오답 관리.",,112,
56,공무원 확장,"1인 운영의 한계를 인정함.
한능검 하나만으론 부족해요.
그래서 다음 목표는 한 학습 경험을 공무원 → 자격증 → 수능까지 확장하는 거.
""시험 보려는 사람이라면 일단 여기 와서 풀어보세요""가 종착점.",,112,
57,공무원 확장,"공무원 시험 한국사 출제 분석:
한능검과 출제 풀이 80% 겹침.
다른 20%는 시기·지역·인물 미세 차이.
그래서 한능검 사이트가 공무원 한국사로 확장하기 가장 자연스러움.
데이터·UI·UX 거의 전부 재활용 가능.

→ gcnote.co.kr",Y,137,
